Date,HGZ2 Comdty - LMCADS03 Comdty
28/12/2017,8.4282
29/12/2017,9.9833
02/01/2018,9.7884
03/01/2018,11.1192
04/01/2018,9.8868
05/01/2018,10.0486
08/01/2018,9.3671
09/01/2018,9.7104
10/01/2018,9.2471
11/01/2018,10.0641
12/01/2018,10.2975
15/01/2018,5.7616
16/01/2018,12.099
17/01/2018,11.1448
18/01/2018,10.2897
19/01/2018,11.0273
22/01/2018,10.8526
23/01/2018,9.5296
24/01/2018,10.6832
25/01/2018,9.7775
26/01/2018,10.4315
29/01/2018,9.5815
30/01/2018,10.9691
31/01/2018,8.0846
01/02/2018,9.8893
02/02/2018,11.2458
05/02/2018,8.9213
06/02/2018,10.1397
07/02/2018,8.9801
08/02/2018,9.8176
09/02/2018,9.3
12/02/2018,10.9027
13/02/2018,10.9813
14/02/2018,10.2435
15/02/2018,10.3817
16/02/2018,8.6184
19/02/2018,13.8346
20/02/2018,10.3047
21/02/2018,11.2893
22/02/2018,11.8388
23/02/2018,12.4779
26/02/2018,11.1475
27/02/2018,12.1845
28/02/2018,10.6668
01/03/2018,9.875
02/03/2018,11.0636
05/03/2018,10.7193
06/03/2018,9.6556
07/03/2018,10.5049
08/03/2018,10.662
09/03/2018,10.1606
12/03/2018,11.1832
13/03/2018,11.2317
14/03/2018,11.0586
15/03/2018,11.2657
16/03/2018,10.8172
19/03/2018,9.9094
20/03/2018,10.05
21/03/2018,9.9263
22/03/2018,11.1715
23/03/2018,10.2591
26/03/2018,10.5899
27/03/2018,11.558
28/03/2018,11.0323
29/03/2018,11.1097
02/04/2018,13.7097
03/04/2018,11.4902
04/04/2018,9.8561
05/04/2018,12.0831
06/04/2018,12.9649
09/04/2018,11.848
10/04/2018,12.4317
11/04/2018,10.1049
12/04/2018,11.5063
13/04/2018,11.948
16/04/2018,10.7966
17/04/2018,11.2162
18/04/2018,11.9891
19/04/2018,11.4127
20/04/2018,11.3499
23/04/2018,11.4498
24/04/2018,11.3473
25/04/2018,10.2241
26/04/2018,10.8246
27/04/2018,12.1449
30/04/2018,11.6913
01/05/2018,11.1035
02/05/2018,10.4016
03/05/2018,11.6841
04/05/2018,12.3295
07/05/2018,12.3795
08/05/2018,14.2035
09/05/2018,11.2552
10/05/2018,10.6018
11/05/2018,9.7178
14/05/2018,10.1033
15/05/2018,10.0459
16/05/2018,10.0795
17/05/2018,9.9254
18/05/2018,8.6141
21/05/2018,11.1254
22/05/2018,9.2895
23/05/2018,8.4197
24/05/2018,10.2801
25/05/2018,8.6533
29/05/2018,8.2373
30/05/2018,9.4944
31/05/2018,8.9501
01/06/2018,10.5543
04/06/2018,9.821
05/06/2018,10.6965
06/06/2018,11.108
07/06/2018,6.6278
08/06/2018,10.235
11/06/2018,8.5205
12/06/2018,10.0673
13/06/2018,8.9297
14/06/2018,9.4085
15/06/2018,9.2798
18/06/2018,8.3699
19/06/2018,8.3944
20/06/2018,10.3835
21/06/2018,7.3438
22/06/2018,7.8577
25/06/2018,6.4
26/06/2018,8.555
27/06/2018,8.7349
28/06/2018,7.7873
29/06/2018,7.2013
02/07/2018,9.9232
03/07/2018,9.0747
04/07/2018,13.8374
05/07/2018,6.7971
06/07/2018,9.7548
09/07/2018,7.306
10/07/2018,9.5141
11/07/2018,8.7189
12/07/2018,8.5541
13/07/2018,8.1959
16/07/2018,8.4371
17/07/2018,9.0014
18/07/2018,9.8421
19/07/2018,7.1477
20/07/2018,9.1055
23/07/2018,8.6993
24/07/2018,7.6651
25/07/2018,8.9419
26/07/2018,8.7465
27/07/2018,7.1744
30/07/2018,9.0063
31/07/2018,10.1883
01/08/2018,8.5443
02/08/2018,9.3684
03/08/2018,9.002
06/08/2018,9.1133
07/08/2018,9.0582
08/08/2018,8.5989
09/08/2018,7.8402
10/08/2018,7.0778
13/08/2018,7.5834
14/08/2018,8.0002
15/08/2018,6.9724
16/08/2018,5.3583
17/08/2018,7.3526
20/08/2018,8.2316
21/08/2018,7.9548
22/08/2018,8.6692
23/08/2018,8.0583
24/08/2018,6.6833
27/08/2018,7.5333
28/08/2018,7.8282
29/08/2018,9.0951
30/08/2018,7.6023
31/08/2018,7.28
03/09/2018,7.6428
04/09/2018,8.3374
05/09/2018,6.0473
06/09/2018,6.3845
07/09/2018,4.2351
